NAICS,Purchases from,In-region Purchases,% In-region Purchases,Imported Purchases,% Imported Purchases,Total Purchases,Cluster Name,Cluster ID,SBDC Region
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",19024.7247,0.008151528,2314859.785,0.991848472,2333884.51,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332991,Ball and Roller Bearing Manufacturing,305141.9596,0.13355968,1979544.261,0.86644032,2284686.22,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332811,Metal Heat Treating,184005.9005,0.082558007,2044801.535,0.917441993,2228807.435,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
541810,Advertising Agencies,588268.1508,0.26418324,1638474.734,0.73581676,2226742.885,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
322212,Folding Paperboard Box Manufacturing,0.0,0.0,2220623.444,1.0,2220623.444,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
561730,Landscaping Services,1955831.272,0.890120097,241435.4551,0.109879903,2197266.727,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
336120,Heavy Duty Truck Manufacturing,1778475.662,0.814008016,406362.3583,0.185991984,2184838.02,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",161709.5162,0.07411353,2020206.754,0.92588647,2181916.27,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,14091.49378,0.006478485,2161030.151,0.993521515,2175121.645,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,557320.0045,0.2584671,1598931.233,0.7415329,2156251.237,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
531130,Lessors of Miniwarehouses and Self-Storage Units,1958570.957,0.919585377,171270.3878,0.080414623,2129841.345,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
336412,Aircraft Engine and Engine Parts Manufacturing,698973.2855,0.333647738,1395970.593,0.666352262,2094943.879,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,0.0,0.0,2094568.447,1.0,2094568.447,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",58319.74857,0.027974379,2026436.011,0.972025621,2084755.76,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,0.0,0.0,2055340.885,1.0,2055340.885,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
334412,Bare Printed Circuit Board Manufacturing,0.0,0.0,2046915.482,1.0,2046915.482,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,6379.844477,0.0031458,2021671.36,0.9968542,2028051.205,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
339999,All Other Miscellaneous Manufacturing,56075.53934,0.027781235,1962392.624,0.972218765,2018468.163,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
322219,Other Paperboard Container Manufacturing,346693.65,0.172155483,1667146.65,0.827844517,2013840.3,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
327215,Glass Product Manufacturing Made of Purchased Glass,66365.18656,0.033601475,1908702.447,0.966398525,1975067.634,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
424910,Farm Supplies Merchant Wholesalers,1414726.529,0.729829723,523707.17,0.270170277,1938433.699,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
561720,Janitorial Services,1624029.486,0.838169889,313560.3848,0.161830111,1937589.871,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
